group_id,main_title_guess,main_file_count,supplement_file_count,total_file_count,primary_file,main_files,supplement_files
001,001_an_indel_variant_in_the_promoter_001_An InDel variant in the promoter of the NAC transcription factor MdNAC18.1 plays a major role in apple fruit ripening,3,1,4,001_an_indel_variant_in_the_promoter_001_An InDel variant in the promoter of the NAC transcription factor MdNAC18.1 plays a major role in apple fruit ripening.pdf,001_an_indel_variant_in_the_promoter_001_An InDel variant in the promoter of the NAC transcription factor MdNAC18.1 plays a major role in apple fruit ripening.pdf | 001_an_indel_variant_in_the_promoter_003_koaf007.pdf | 001_an_indel_variant_in_the_promoter_004_tpc.00401.2024-s08.pdf,001_an_indel_variant_in_the_promoter_002_Supplementary Figures 1-18.pdf
006,006_genome_sequencing_of_fuji_apple_clonal_001_41467_2024_Article_54428,3,4,7,006_genome_sequencing_of_fuji_apple_clonal_001_41467_2024_Article_54428.pdf,006_genome_sequencing_of_fuji_apple_clonal_001_41467_2024_Article_54428.pdf | 006_genome_sequencing_of_fuji_apple_clonal_002_Genome sequencing of 'Fuji' apple clonal varieties reveals genetic mechanism of the spur-type morphology.pdf | 006_genome_sequencing_of_fuji_apple_clonal_004_Genome sequencing of ‘Fuji’ apple clonal varieties reveals genetic mechanism of the spur-type morphology.pdf,006_genome_sequencing_of_fuji_apple_clonal_003_Reporting Summary.pdf | 006_genome_sequencing_of_fuji_apple_clonal_005_同行评审文件.pdf | 006_genome_sequencing_of_fuji_apple_clonal_006_补充信息.pdf | 006_genome_sequencing_of_fuji_apple_clonal_007_附加补充文件描述.pdf
008,008_genome_re_sequencing_reveals_the_history_001_Genome re-sequencing reveals the history of apple and supports a two-stage model for fruit enlargement,1,1,2,008_genome_re_sequencing_reveals_the_history_001_Genome re-sequencing reveals the history of apple and supports a two-stage model for fruit enlargement.pdf,008_genome_re_sequencing_reveals_the_history_001_Genome re-sequencing reveals the history of apple and supports a two-stage model for fruit enlargement.pdf,008_genome_re_sequencing_reveals_the_history_002_补充信息.pdf
011,"011_apple_fruit_acidity_is_genetically_diver_001_Apple fruit acidity is genetically diversified by natural variations in three hierarchical epistatic genes MdSAUR37, MdPP2CH and MdALMTII",1,0,1,"011_apple_fruit_acidity_is_genetically_diver_001_Apple fruit acidity is genetically diversified by natural variations in three hierarchical epistatic genes MdSAUR37, MdPP2CH and MdALMTII.pdf","011_apple_fruit_acidity_is_genetically_diver_001_Apple fruit acidity is genetically diversified by natural variations in three hierarchical epistatic genes MdSAUR37, MdPP2CH and MdALMTII.pdf",
013,013_natural_variation_in_mdnac5_contributes__001_Natural variation in MdNAC5 contributes to fruit firmness and ripening divergence in apple,1,0,1,013_natural_variation_in_mdnac5_contributes__001_Natural variation in MdNAC5 contributes to fruit firmness and ripening divergence in apple.pdf,013_natural_variation_in_mdnac5_contributes__001_Natural variation in MdNAC5 contributes to fruit firmness and ripening divergence in apple.pdf,
014,014_genome_wide_association_studies_in_apple_001_Genome-wide association studies in apple reveal loci of large effect controlling apple polyphenols,1,0,1,014_genome_wide_association_studies_in_apple_001_Genome-wide association studies in apple reveal loci of large effect controlling apple polyphenols.pdf,014_genome_wide_association_studies_in_apple_001_Genome-wide association studies in apple reveal loci of large effect controlling apple polyphenols.pdf,
015,015_allelic_variation_in_paralogs_of_gdp_001_Allelic variation in paralogs of GDP-L-galactose phosphorylase is a major determinant of vitamin C concentrations in apple fruit,1,0,1,015_allelic_variation_in_paralogs_of_gdp_001_Allelic variation in paralogs of GDP-L-galactose phosphorylase is a major determinant of vitamin C concentrations in apple fruit.pdf,015_allelic_variation_in_paralogs_of_gdp_001_Allelic variation in paralogs of GDP-L-galactose phosphorylase is a major determinant of vitamin C concentrations in apple fruit.pdf,
016,"016_allelic_variation_in_an_expansin_mdexp_001_Allelic variation in an expansin, MdEXP-A1, contributes to flesh firmness at harvest in apples",1,1,2,"016_allelic_variation_in_an_expansin_mdexp_001_Allelic variation in an expansin, MdEXP-A1, contributes to flesh firmness at harvest in apples.pdf","016_allelic_variation_in_an_expansin_mdexp_001_Allelic variation in an expansin, MdEXP-A1, contributes to flesh firmness at harvest in apples.pdf",016_allelic_variation_in_an_expansin_mdexp_002_43897_2024_121_MOESM1_ESM.pdf
022,022_natural_variations_in_mdnac18_exert_majo_001_Natural variations in MdNAC18 exert major genetic effect on apple fruit harvest date by regulating ethylene biosynthesis genes,1,0,1,022_natural_variations_in_mdnac18_exert_majo_001_Natural variations in MdNAC18 exert major genetic effect on apple fruit harvest date by regulating ethylene biosynthesis genes.pdf,022_natural_variations_in_mdnac18_exert_majo_001_Natural variations in MdNAC18 exert major genetic effect on apple fruit harvest date by regulating ethylene biosynthesis genes.pdf,
024,024_autosuppression_of_mdnac18_1_endowed_by_001_Autosuppression of MdNAC18.1 endowed by a 61-bp promoter fragment duplication delays maturity date in apple,1,0,1,024_autosuppression_of_mdnac18_1_endowed_by_001_Autosuppression of MdNAC18.1 endowed by a 61-bp promoter fragment duplication delays maturity date in apple.pdf,024_autosuppression_of_mdnac18_1_endowed_by_001_Autosuppression of MdNAC18.1 endowed by a 61-bp promoter fragment duplication delays maturity date in apple.pdf,
