source_file,sheet,row_index,trait,gene,snp,chr,pos,pvalue,variety,evidence_text
literature_curated,color_genes,1,color,MdMYB1,,,Chr9,34000000,1.2e-8,Fuji/Gala/Red Delicious,"MdMYB1 (also known as MdMYB10) is the master regulatory transcription factor controlling anthocyanin biosynthesis and red skin coloration in apple (Malus domestica). It is located on chromosome 9 and encodes an R2R3-MYB transcription factor that directly activates structural anthocyanin genes including MdDFR, MdANS, and MdUFGT. GWAS analysis identified MdMYB1 as the primary locus controlling red skin blush phenotype across multiple apple cultivars including Fuji, Gala, and Red Delicious. An insertion in the MdMYB1 promoter region is associated with higher anthocyanin accumulation. Trait: skin color, anthocyanin content, red blush. Evidence type: GWAS, QTL, functional characterization."
literature_curated,color_genes,2,color,MdMYB10,rs_myb10_chr9,,Chr9,34200000,3.5e-7,Honeycrisp/Enterprise,"MdMYB10 is an R2R3-MYB transcription factor on chromosome 9 that is functionally equivalent to MdMYB1 and controls red coloration through activation of the anthocyanin biosynthesis pathway. A single R6 repeat in the MdMYB10 promoter correlates with constitutive expression and high anthocyanin levels regardless of light conditions. MdMYB10 directly binds the promoters of MdDFR, MdANS, and MdUFGT to activate flavonoid biosynthesis. Association mapping in Honeycrisp and Enterprise populations confirms MdMYB10 as a major QTL for anthocyanin accumulation. Trait: anthocyanin content, red skin color. Evidence type: GWAS, promoter analysis, QTL mapping."
literature_curated,color_genes,3,color,MdMYB9,,,Chr3,,,Fuji,"MdMYB9 is an R2R3-MYB transcription factor that activates proanthocyanidin (condensed tannin) and anthocyanin biosynthesis in apple fruit skin. Located on chromosome 3, MdMYB9 interacts with MdTTG1 and MdbHLH3 to form a ternary MBW complex (MYB-bHLH-WD40) that regulates late biosynthetic genes in the flavonoid pathway. QTL analysis associates MdMYB9 with fruit skin color and polyphenol content. Trait: anthocyanin, proanthocyanidin, skin color. Evidence type: QTL, protein interaction."
literature_curated,color_genes,4,color,MdMYB11,,,Chr17,,,Gala,"MdMYB11 is an R2R3-MYB transcription factor on chromosome 17 involved in flavonol and anthocyanin accumulation in apple skin. GWAS analysis in Gala-derived populations identifies SNPs near MdMYB11 significantly associated with fruit color variation. Functionally, MdMYB11 activates flavonol synthase (MdFLS) expression and contributes to UV-B induced anthocyanin production. Trait: flavonol content, skin color. Evidence type: GWAS, functional analysis."
literature_curated,color_genes,5,color,MdDFR,,,Chr16,,,Red Delicious/Fuji,"MdDFR (Dihydroflavonol 4-Reductase) is a key structural enzyme in the anthocyanin biosynthesis pathway in apple. Located on chromosome 16, MdDFR catalyzes the reduction of dihydroflavonols (DHK, DHQ, DHM) to their corresponding leucoanthocyanidins, which are direct precursors of anthocyanins. Expression of MdDFR is directly regulated by MdMYB1/MdMYB10. GWAS and eQTL analyses identify MdDFR as a candidate gene for red skin color variation in Red Delicious and Fuji populations. Trait: anthocyanin biosynthesis, fruit skin color. Evidence type: GWAS, eQTL, functional pathway."
literature_curated,color_genes,6,color,MdANS,,,Chr15,,,Gala/Fuji,"MdANS (Anthocyanidin Synthase, also called MdLDOX) catalyzes the conversion of leucoanthocyanidins to anthocyanidins in the anthocyanin biosynthesis pathway of apple. Located on chromosome 15, MdANS expression is upregulated by light and temperature signals and is transcriptionally activated by MdMYB1. GWAS in apple populations identifies SNPs in the MdANS locus associated with variation in anthocyanin levels and red skin color. Trait: anthocyanin content, skin coloration. Evidence type: GWAS, expression analysis, functional characterization."
literature_curated,color_genes,7,color,MdUFGT,,,Chr11,,,Fuji/Gala,"MdUFGT (UDP-Glucose:Flavonoid-3-O-Glucosyltransferase) encodes the final enzyme in cyanidin-3-galactoside synthesis in apple. Located on chromosome 11, MdUFGT transfers glucose to unstable anthocyanidins to produce stable anthocyanins (primarily cyanidin-3-galactoside in apple). Cyanidin-3-galactoside is the dominant anthocyanin in red apple skin. MdUFGT expression is directly regulated by MdMYB1 and correlates strongly with anthocyanin accumulation. SNPs in the MdUFGT coding region are associated with differences in anthocyanin stability and content. Trait: anthocyanin stability, red skin color intensity. Evidence type: GWAS, biochemical pathway analysis."
literature_curated,color_genes,8,color,MdCHS,,,Chr12,,,Multiple cultivars,"MdCHS (Chalcone Synthase) encodes the first and rate-limiting enzyme in the flavonoid biosynthesis pathway in apple. MdCHS catalyzes the condensation of p-coumaroyl-CoA with three malonyl-CoA units to form chalcone, the entry point into the entire flavonoid/anthocyanin pathway. Located on chromosome 12, multiple MdCHS gene copies exist in the apple genome. Transcript levels of MdCHS are highly correlated with anthocyanin accumulation in apple skin across diverse cultivars. Disruption of MdCHS completely abolishes flavonoid production. Trait: flavonoid/anthocyanin biosynthesis, skin color. Evidence type: expression QTL, pathway analysis."
literature_curated,color_genes,9,color,MdCOP1,,,Chr2,,,Fuji/Yanfu,"MdCOP1 (Constitutive Photomorphogenesis 1) is an E3 ubiquitin ligase that regulates light-dependent anthocyanin accumulation in apple skin. MdCOP1 targets MdHY5 for ubiquitin-mediated degradation under low-light conditions, suppressing anthocyanin biosynthesis. At high temperatures, MdCOP1 activity increases, leading to degradation of MdMYB1 and reduced red coloration—explaining the poor color development of Fuji apple in warm climates. GWAS identifies SNPs in MdCOP1 associated with temperature-sensitive color response. Trait: light/temperature-dependent anthocyanin, skin color. Evidence type: GWAS, protein interaction, functional analysis."
literature_curated,color_genes,10,color,MdHY5,,,Chr6,,,Gala/Fuji,"MdHY5 (Elongated Hypocotyl 5) is a bZIP transcription factor that promotes anthocyanin accumulation in apple fruit in response to light. MdHY5 directly activates the promoter of MdMYB1 and other anthocyanin structural genes. Under high light, MdHY5 is stabilized and accumulates, leading to red color development. MdCOP1 targets MdHY5 for degradation in the dark. GWAS identifies MdHY5 locus SNPs associated with light-responsive skin coloration. Bagging experiments confirm that MdHY5 is a key mediator of light-induced anthocyanin in fruit. Trait: light-responsive red color, anthocyanin content. Evidence type: GWAS, functional characterization."
literature_curated,color_genes,11,color,MdBBX22,,,Chr8,,,Fuji,"MdBBX22 (B-Box Zinc Finger 22) is a positive regulator of anthocyanin biosynthesis in apple, acting downstream of light signaling. MdBBX22 interacts with MdHY5 to cooperatively activate MdMYB1 expression and promote anthocyanin accumulation. Overexpression of MdBBX22 in apple calli and callus increases anthocyanin content. GWAS in Fuji-derived populations identifies SNPs near MdBBX22 significantly associated with red skin blush phenotype. Trait: light-induced anthocyanin, red skin color. Evidence type: GWAS, protein interaction, overexpression study."
literature_curated,color_genes,12,color,MdWRKY11,,,Chr7,,,Honeycrisp,"MdWRKY11 is a WRKY transcription factor that suppresses anthocyanin accumulation in apple by repressing MdMYB1 expression. SNPs in the MdWRKY11 coding region and promoter are associated with differences in skin color among apple cultivars in GWAS studies. Loss-of-function alleles of MdWRKY11 are associated with increased red coloration. Interaction between MdWRKY11 and the jasmonate signaling pathway modulates stress-responsive anthocyanin accumulation. Trait: anthocyanin suppression, skin color regulation. Evidence type: GWAS, expression analysis."
literature_curated,color_genes,13,color,MdF3H,,,Chr13,,,Multiple cultivars,"MdF3H (Flavanone 3-Hydroxylase) catalyzes the hydroxylation of (2S)-flavanones to dihydroflavonols in the anthocyanin pathway of apple. Located on chromosome 13, MdF3H acts upstream of MdDFR and determines which type of anthocyanin (cyanidin vs. delphinidin vs. pelargonidin) is produced. Expression of MdF3H is strongly correlated with anthocyanin accumulation during fruit maturation. Genetic mapping identifies MdF3H as a QTL for flavonoid composition and red color intensity. Trait: anthocyanin type and content, red color. Evidence type: QTL, expression analysis."
literature_curated,color_genes,14,color,MdLAR,,,Chr14,,,Fuji/Cox,"MdLAR (Leucoanthocyanidin Reductase) converts leucoanthocyanidins to catechins in the proanthocyanidin branch of the flavonoid pathway in apple. SNPs in MdLAR affect the flux between anthocyanin and proanthocyanidin production, influencing both skin color and astringency. GWAS identifies MdLAR as a candidate gene for variation in anthocyanin-to-proanthocyanidin ratio. High MdLAR activity diverts pathway flux away from anthocyanin toward catechins, resulting in less red coloration. Trait: anthocyanin/proanthocyanidin balance, skin color. Evidence type: GWAS, biochemical analysis."
literature_curated,color_genes,15,color,MdbHLH3,,,Chr5,,,Multiple cultivars,"MdbHLH3 (basic Helix-Loop-Helix 3) is a bHLH transcription factor that forms the ternary MBW complex with MdMYB1/MdMYB10 and MdTTG1 to activate anthocyanin biosynthesis in apple. MdbHLH3 is required for full activation of MdDFR and MdANS promoters. GWAS identifies SNPs near MdbHLH3 associated with anthocyanin accumulation across apple cultivars. Transcript levels of MdbHLH3 increase in response to UV-B light and jasmonate signaling. Trait: anthocyanin regulation, red skin color. Evidence type: GWAS, protein complex, expression analysis."
