source_file,sheet,row_index,trait,gene,snp,chr,pos,pvalue,score_raw,variety,evidence_text,candidate_gene,display_title,generic_label
GDR_rosaceae.org,Apple_quantitattive_traits_Jung_2022,5548,firmness,Fruitfirmness-across,AX-115546644,Chr03,30590166,7.6983227210323E-14,7.6983227210323E-14,Apple_quantitative_traits_Jung_534,"GDR GWAS: GWAS0004284. Trait: fruit firmness (category: firmness). Associated gene: MD03G1222000. GWAS marker: AX-115546644. Published symbol: Fruitfirmness-across. P-value: 7.6983227210323E-14. R² (variance explained): 0.12468057177598%. Genomic location: Chr03:30590166..30590166. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_quantitative_traits_Jung_534. Dataset: Apple_quantitattive_traits_Jung_2022. Citation: Jung M, Keller B, Roth M, Aranzana MJ, Auwerkerken A, Guerra W, Al-Rifaï M, Lewandowski M, Sanin N, Rymenants M, Didelot M, Dujak C, Forcada CF, Knauf A, Laurens F, Studer B, Muranty H, Patocchi A. Genetic architecture and genomic predictive ability of apple quantitative traits across environments, ...",MD03G1222000,MD03G1222000 (Fruitfirmness-across),0
GDR_rosaceae.org,Apple_quantitattive_traits_Jung_2022,21318,firmness,Fruitfirmness-CHE,AX-115334532,Chr01,26863095,4.9927021029125E-12,4.9927021029125E-12,Apple_quantitative_traits_Jung_534,"GDR GWAS: GWAS0004404. Trait: fruit firmness (category: firmness). Associated gene: MD01G1163900. GWAS marker: AX-115334532. Published symbol: Fruitfirmness-CHE. P-value: 4.9927021029125E-12. R² (variance explained): 0.11990912160077%. Genomic location: Chr01:26863095..26863095. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_quantitative_traits_Jung_534. Dataset: Apple_quantitattive_traits_Jung_2022. Citation: Jung M, Keller B, Roth M, Aranzana MJ, Auwerkerken A, Guerra W, Al-Rifaï M, Lewandowski M, Sanin N, Rymenants M, Didelot M, Dujak C, Forcada CF, Knauf A, Laurens F, Studer B, Muranty H, Patocchi A. Genetic architecture and genomic predictive ability of apple quantitative traits across environments, ...",MD01G1163900,MD01G1163900 (Fruitfirmness-CHE),0
GDR_rosaceae.org,Apple_quantitattive_traits_Jung_2022,40532,firmness,Fruitfirmness-across,AX-115271041,Chr05,4845617,4.9069636440836E-11,4.9069636440836E-11,Apple_quantitative_traits_Jung_534,"GDR GWAS: GWAS0004319. Trait: fruit firmness (category: firmness). Associated gene: MD05G1029700. GWAS marker: AX-115271041. Published symbol: Fruitfirmness-across. P-value: 4.9069636440836E-11. R² (variance explained): 0.031533336805354%. Genomic location: Chr05:4845617..4845617. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_quantitative_traits_Jung_534. Dataset: Apple_quantitattive_traits_Jung_2022. Citation: Jung M, Keller B, Roth M, Aranzana MJ, Auwerkerken A, Guerra W, Al-Rifaï M, Lewandowski M, Sanin N, Rymenants M, Didelot M, Dujak C, Forcada CF, Knauf A, Laurens F, Studer B, Muranty H, Patocchi A. Genetic architecture and genomic predictive ability of apple quantitative traits across environments, ...",MD05G1029700,MD05G1029700 (Fruitfirmness-across),0
GDR_rosaceae.org,Apple_quantitattive_traits_Jung_2022,28706,firmness,Fruitfirmness-ITA,AX-115320550,Chr10,32825957,1.1161604953143E-9,1.1161604953143E-9,Apple_quantitative_traits_Jung_534,"GDR GWAS: GWAS0004602. Trait: fruit firmness (category: firmness). Associated gene: MD10G1231700. GWAS marker: AX-115320550. Published symbol: Fruitfirmness-ITA. P-value: 1.1161604953143E-9. R² (variance explained): 0.065139354434781%. Genomic location: Chr10:32825957..32825957. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_quantitative_traits_Jung_534. Dataset: Apple_quantitattive_traits_Jung_2022. Citation: Jung M, Keller B, Roth M, Aranzana MJ, Auwerkerken A, Guerra W, Al-Rifaï M, Lewandowski M, Sanin N, Rymenants M, Didelot M, Dujak C, Forcada CF, Knauf A, Laurens F, Studer B, Muranty H, Patocchi A. Genetic architecture and genomic predictive ability of apple quantitative traits across environments, ...",MD10G1231700,MD10G1231700 (Fruitfirmness-ITA),0
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,24552,firmness,fruit texture parameters for harvest and postharvest,Md_Chr07_3029987,Chr07,3029987,8.42,8.42,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004938. Trait: fruit texture (category: firmness). Associated gene: MD07G1036800. GWAS marker: Md_Chr07_3029987. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 8.42. Genomic location: Chr07:3029987..3029987. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD07G1036800,MD07G1036800 (fruit texture parameters for harvest and postharvest),0
GDR_rosaceae.org,Apple_ripening_traits_GWAS_Watts_2023,23861,firmness,Firmness after storage,Chr3:30698039,Chr03,30698039,1.05E-8,1.05E-8,Apple_ripening_traits_GWAS_Watts_1119,"GDR GWAS: GWAS0004251. Trait: fruit firmness after storage (category: firmness). Associated gene: MD03G1222600. GWAS marker: Chr3:30698039. Published symbol: Firmness after storage. P-value: 1.05E-8. LOD score: 8. R² (variance explained): 6.1%. Genomic location: Chr03:30698039..30698039. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_ripening_traits_GWAS_Watts_1119. Dataset: Apple_ripening_traits_GWAS_Watts_2023. Citation: Watts S, Migicovsky Z, Myles S. Large-scale apple GWAS reveals NAC18.1 as a master regulator of ripening traits. Fruit Research, 2023 Nov 9; 3:32",MD03G1222600,MD03G1222600 (Firmness after storage),0
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,43794,firmness,fruit texture parameters for harvest and postharvest,Md_Chr01_19185268,Chr01,19185268,7.575,7.575,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004924. Trait: fruit texture (category: firmness). Associated gene: MD01G1085300. GWAS marker: Md_Chr01_19185268. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 7.575. Genomic location: Chr01:19185268..19185268. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD01G1085300,MD01G1085300 (fruit texture parameters for harvest and postharvest),0
GDR_rosaceae.org,Apple_ripening_traits_GWAS_Watts_2023,39364,firmness,softening,Chr10:27438934,Chr10,27438934,,7.5,Apple_ripening_traits_GWAS_Watts_1119,"GDR GWAS: GWAS0004265. Trait: fruit firmness (category: firmness). Associated gene: MD10G1181300. GWAS marker: Chr10:27438934. Published symbol: softening. LOD score: 7.5. Genomic location: Chr10:27438934..27438934. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_ripening_traits_GWAS_Watts_1119. Dataset: Apple_ripening_traits_GWAS_Watts_2023. Citation: Watts S, Migicovsky Z, Myles S. Large-scale apple GWAS reveals NAC18.1 as a master regulator of ripening traits. Fruit Research, 2023 Nov 9; 3:32",MD10G1181300,MD10G1181300 (softening),0
GDR_rosaceae.org,Apple_mealiness_GWAS_Moriya_2017,9353,firmness,arcsine-transformed degree of mealiness (ADM),SNP_FB_0028782,Chr10,26828403,7.45,7.45,Apple_mealiness_GWAS_Moriya_82,"GDR GWAS: GWAS0004901. Trait: fruit mealiness (category: firmness). Associated gene: MD10G1176000. GWAS marker: SNP_FB_0028782. Published symbol: arcsine-transformed degree of mealiness (ADM). P-value: 7.45. Genomic location: Chr10:26828403..26828403. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_mealiness_GWAS_Moriya_82. Dataset: Apple_mealiness_GWAS_Moriya_2017. Citation: Moriya S, Kunihisa M, Okada K, Iwanami H, Iwata H, Minamikawa M, Katayose Y, Matsumoto T, Mori S, Sasaki H, Matsumoto T, Nishitani C, Terakami S, Yamamoto T, Abe K. Identification of QTLs for Flesh Mealiness in Apple (Malus × domestica Borkh.). The Horticulture Journal 2017 April 25; 86 (2): 159–170",MD10G1176000,MD10G1176000 (arcsine-transformed degree of mealiness (ADM)),0
GDR_rosaceae.org,Apple_quantitattive_traits_Jung_2022,40122,firmness,Fruitfirmness-CHE,AX-115210600,Chr06,3080366,3.8821385451209E-8,3.8821385451209E-8,Apple_quantitative_traits_Jung_534,"GDR GWAS: GWAS0004469. Trait: fruit firmness (category: firmness). Associated gene: MD06G1025400. GWAS marker: AX-115210600. Published symbol: Fruitfirmness-CHE. P-value: 3.8821385451209E-8. R² (variance explained): 0.0093582660691452%. Genomic location: Chr06:3080366..3080366. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_quantitative_traits_Jung_534. Dataset: Apple_quantitattive_traits_Jung_2022. Citation: Jung M, Keller B, Roth M, Aranzana MJ, Auwerkerken A, Guerra W, Al-Rifaï M, Lewandowski M, Sanin N, Rymenants M, Didelot M, Dujak C, Forcada CF, Knauf A, Laurens F, Studer B, Muranty H, Patocchi A. Genetic architecture and genomic predictive ability of apple quantitative traits across environments, ...",MD06G1025400,MD06G1025400 (Fruitfirmness-CHE),0
