source_file,sheet,row_index,trait,gene,snp,chr,pos,pvalue,variety,evidence_text
literature_curated,firmness_texture_genes,1,firmness,MdNAC18,NAC18_InDel,Chr03,30698039,,Apple ripening and texture GWAS,"MdNAC18.1 is curated as a core apple firmness, ripening, and harvest-date regulator. The Chr03 NAC18 region links ripening-time GWAS/QTL evidence with ethylene biosynthesis, cell-wall softening programs, firmness after storage, and Honeycrisp-like delayed softening interpretation. Evidence type: GWAS/QTL-supported candidate transcription factor and ripening mechanism. Trait: flesh firmness, texture, ripening, postharvest softening."
literature_curated,firmness_texture_genes,2,firmness,MdNAC5,NAC5_locus,,,,Multiple apple cultivars,"MdNAC5 is curated as a NAC transcription factor associated with apple fruit firmness and ripening divergence. It supports answers where NAC regulators activate or modulate cell-wall degradation genes such as polygalacturonase during fruit softening. Evidence type: literature-curated transcription-factor mechanism. Trait: flesh firmness, ripening divergence, softening."
literature_curated,firmness_texture_genes,3,firmness,MdPG,Md-PG1_SSR_10Kd,LG10,,,Fuji x Delicious texture QTL,"MdPG, including Md-PG1/polygalacturonase evidence, is curated as a direct cell-wall disassembly gene for apple texture. Candidate-gene and QTL studies link the LG10 texture locus and Md-PG1 marker with fruit firmness and texture variation. Mechanism: polygalacturonase degrades pectin in the cell wall, accelerating fruit softening. Evidence type: QTL/candidate-gene support. Trait: flesh firmness, fruit texture, softening."
literature_curated,firmness_texture_genes,4,firmness,MdEXP-A1,EXP-A1_locus,Chr16,,,Ruiyang x Scilate firmness cross,"MdEXP-A1 is curated as an expansin gene contributing to apple flesh firmness at harvest. Expansin allelic variation is linked with cell-wall loosening and firmness differences, supporting Honeycrisp/texture-style questions that ask about expansion genes and delayed softening. Evidence type: QTL/candidate-gene and allelic-variation support. Trait: flesh firmness at harvest, crispness, texture."
literature_curated,firmness_texture_genes,5,firmness,MdEXP,EXP_locus,,,,Apple texture literature,"MdEXP is used as a normalized gene-family label for apple expansin evidence when the question asks for MdEXP rather than the specific MdEXP-A1 symbol. Expansin proteins contribute to cell-wall loosening; relevant allelic variation can affect flesh firmness and crispness. Evidence type: curated synonym/normalization entry. Trait: firmness, crispness, texture."
literature_curated,firmness_texture_genes,6,firmness,MdERF3,ERF3_locus,,,,Apple crispness-retainability literature,"MdERF3 is curated as an ethylene-response factor associated with apple flesh firmness and crispness retainability. It supports evidence that ethylene-response transcription factors contribute to variation in texture retention and postharvest firmness. Evidence type: natural-variation and genomics-assisted prediction support. Trait: flesh firmness, crispness retainability, postharvest texture."
literature_curated,firmness_texture_genes,7,firmness,MdERF118,ERF118_locus,,,,Apple crispness-retainability literature,"MdERF118 is curated with MdERF3 as an ethylene-response factor linked to apple flesh firmness and crispness retainability. It supports texture-related answers where ERF natural variation is part of postharvest crispness and firmness prediction. Evidence type: natural-variation and genomic-prediction support. Trait: flesh firmness, crispness retainability, postharvest texture."
literature_curated,firmness_texture_genes,8,firmness,MdACS1,ACS1_allele,Chr15,,,Multiple apple cultivars,"MdACS1 encodes ACC synthase, a key rate-limiting enzyme for ethylene biosynthesis in apple fruit. ACS1 affects climacteric ethylene production, ripening onset, harvest maturity, and postharvest softening, indirectly reducing firmness through activation of cell-wall degradation pathways. Evidence type: ethylene-pathway gene and candidate-gene support. Trait: firmness, harvest date, ripening, softening."
literature_curated,firmness_texture_genes,9,firmness,MdACO1,ACO1_allele,Chr10,,,Multiple apple cultivars,"MdACO1 encodes ACC oxidase, which converts ACC into ethylene during climacteric ripening. Together with MdACS1, MdACO1 supports the mechanism linking ethylene biosynthesis to firmness loss and postharvest softening. Evidence type: ethylene-pathway gene and expression/functional support. Trait: firmness, ripening, postharvest softening."
literature_curated,firmness_texture_genes,10,firmness,MdPAE10,PAE10_locus,,,,Apple shelf-life literature,"MdPAE10 is curated as a pectin acetylesterase gene where natural variation contributes to prolonged apple fruit shelf life. It supports texture and postharvest firmness answers by linking pectin modification with cell-wall properties and storage performance. Evidence type: natural-variation and cell-wall metabolism support. Trait: firmness, shelf life, postharvest texture."
